position,name,country
MF,Rodrigo Zalazar,URU
GK,Brice Samba,FRA
DF,Malo Gusto,FRA
DF,Lucas Digne,FRA
DF,Dayot Upamecano,FRA
DF,Jules Koundé,FRA
MF,Manu Koné,FRA
FW,Ousmane Dembélé,FRA
MF,Aurélien Tchouaméni,FRA
FW,Marcus Thuram,FRA
FW,Kylian Mbappé,FRA
FW,Michael Olise,FRA
FW,Bradley Barcola,FRA
MF,N'Golo Kanté,FRA
MF,Adrien Rabiot,FRA
DF,Ibrahima Konaté,FRA
GK,Mike Maignan,FRA
DF,William Saliba,FRA
MF,Warren Zaïre-Emery,FRA
DF,Théo Hernandez,FRA
FW,Désiré Doué,FRA
DF,Lucas Hernandez,FRA
FW,Jean-Philippe Mateta,FRA
GK,Robin Risser,FRA
MF,Rayan Cherki,FRA
